provinceId;provinceName;add_core;owner;controller;discovered_by;capital;base_tax;base_production;base_manpower;religion;culture;trade_goods;hre;native_size;native_ferocity;native_hostileness;is_city
431;Berlin;XBE;XBE;XBE;western;Berlin;31;29;45;protestant;culture_north_german;grain;no;30;5;3;yes
493;Hamburg;XHH;XHH;XHH;western;Hamburg;19;23;12;protestant;culture_north_german;fish;no;30;5;3;yes
491;StadtMunchen;XBY;XBY;XBY;western;Munchen;21;15;6;catholic;culture_north_german;grain;no;30;5;3;yes
246;Koln;XNW;XNW;XNW;western;Koln;13;8;9;catholic;culture_north_german;wine;no;30;5;3;yes
279;FrankfurtamMain;XHE;XHE;XHE;western;Frankfurt am Main;11;6;4;protestant;culture_north_german;grain;no;30;5;3;yes
248;Aachen;XNW;XNW;XNW;western;Aachen;6;6;6;catholic;culture_north_german;wine;no;30;5;3;yes
443;Dortmund;XNW;XNW;XNW;western;Dortmund;4;9;5;protestant;culture_north_german;iron;no;30;5;3;yes
528;Dusseldorf;XNW;XNW;XNW;western;Dusseldorf;9;6;3;catholic;culture_north_german;wine;no;30;5;3;yes
530;Essen;XNW;XNW;XNW;western;Essen;4;9;5;protestant;culture_north_german;iron;no;30;5;3;yes
480;Ludwigsburg;XBW;XBW;XBW;western;Ludwigsburg;6;6;6;protestant;culture_north_german;wine;no;30;5;3;yes
350;Recklinghausen;XNW;XNW;XNW;western;Recklinghausen;5;7;6;protestant;culture_north_german;iron;no;30;5;3;yes
156;RheinNeckarKreis;XBW;XBW;XBW;western;Heidelberg;5;7;6;catholic;culture_north_german;wine;no;30;5;3;yes
275;RheinSiegKreis;XNW;XNW;XNW;western;Siegburg;6;6;6;catholic;culture_north_german;wine;no;30;5;3;yes
476;Stuttgart;XBW;XBW;XBW;western;Stuttgart;5;8;5;protestant;culture_north_german;wine;no;30;5;3;yes
474;Bremen;XHB;XHB;XHB;western;Bremen;6;6;3;protestant;culture_north_german;fish;no;30;5;3;yes
282;Dresden;XSN;XSN;XSN;western;Dresden;5;4;6;protestant;culture_saxonian;gems;no;30;5;3;yes
529;Duisburg;XNW;XNW;XNW;western;Duisburg;4;8;3;protestant;culture_north_german;iron;no;30;5;3;yes
478;Esslingen;XBW;XBW;XBW;western;Esslingen am Neckar;5;4;3;protestant;culture_north_german;wine;no;30;5;3;yes
230;Hannover;XNI;XNI;XNI;western;Hannover;5;4;3;protestant;culture_north_german;grain;no;30;5;3;yes
140;Karlsruhe;XBW;XBW;XBW;western;Karlsruhe;6;5;4;catholic;culture_north_german;wine;no;30;5;3;yes
325;StadtLeipzig;XSN;XSN;XSN;western;Leipzig;6;4;5;protestant;culture_north_german;gems;no;30;5;3;yes
161;Mettmann;XNW;XNW;XNW;western;Mettmann;5;4;3;catholic;culture_north_german;wine;no;30;5;3;yes
316;Nurnberg;XBY;XBY;XBY;western;Nurnberg;5;4;3;catholic;culture_north_german;wine;no;30;5;3;yes
256;RheinErftKreis;XNW;XNW;XNW;western;Bergheim;5;4;3;catholic;culture_north_german;wine;no;30;5;3;yes
163;RheinKreisNeuss;XNW;XNW;XNW;western;Neuss;5;4;3;catholic;culture_north_german;wine;no;30;5;3;yes
352;Steinfurt;XNW;XNW;XNW;western;Steinfurt;5;4;3;protestant;culture_north_german;grain;no;30;5;3;yes
172;Wesel;XNW;XNW;XNW;western;Wesel;5;4;3;protestant;culture_north_german;grain;no;30;5;3;yes
477;Boblingen;XBW;XBW;XBW;western;Boblingen;5;4;3;protestant;culture_north_german;wine;no;30;5;3;yes
442;Bochum;XNW;XNW;XNW;western;Bochum;4;5;3;protestant;culture_north_german;iron;no;30;5;3;yes
348;Borken;XNW;XNW;XNW;western;Borken;5;4;3;protestant;culture_north_german;grain;no;30;5;3;yes
387;Gutersloh;XNW;XNW;XNW;western;Gutersloh;5;4;3;protestant;culture_north_german;grain;no;30;5;3;yes
483;Heilbronn;XBW;XBW;XBW;western;Heilbronn;5;4;3;protestant;culture_north_german;wine;no;30;5;3;yes
301;MainKinzigKreis;XHE;XHE;XHE;western;Gelnhausen;5;4;3;protestant;culture_north_german;grain;no;30;5;3;yes
469;MarkischerKreis;XNW;XNW;XNW;western;Ludenscheid;5;4;3;protestant;culture_north_german;iron;no;30;5;3;yes
512;Munchen;XBY;XBY;XBY;western;Munchen;5;4;3;catholic;culture_north_german;grain;no;30;5;3;yes
305;Offenbach;XHE;XHE;XHE;western;Dietzenbach;3;3;6;protestant;culture_north_german;grain;no;30;5;3;yes
196;Ortenaukreis;XBW;XBW;XBW;western;Offenburg;5;4;3;catholic;culture_north_german;wine;no;30;5;3;yes
334;Osnabruck;XNI;XNI;XNI;western;Osnabruck;5;4;3;protestant;culture_north_german;grain;no;30;5;3;yes
481;RemsMurrKreis;XBW;XBW;XBW;western;Waiblingen;5;4;3;protestant;culture_north_german;wine;no;30;5;3;yes
473;Unna;XNW;XNW;XNW;western;Unna;4;5;3;protestant;culture_north_german;iron;no;30;5;3;yes
372;StadtAugsburg;XBY;XBY;XBY;western;Augsburg;3;3;3;catholic;culture_north_german;grain;no;30;5;3;yes
377;Augsburg;XBY;XBY;XBY;western;Augsburg;3;3;3;catholic;culture_north_german;grain;no;30;5;3;yes
295;Bautzen;XSN;XSN;XSN;western;Bautzen;3;3;3;protestant;culture_saxonian;gems;no;30;5;3;yes
292;Bergstrasse;XHE;XHE;XHE;western;Heppenheim;3;3;3;catholic;culture_north_german;wine;no;30;5;3;yes
386;Bielefeld;XNW;XNW;XNW;western;Bielefeld;3;3;3;protestant;culture_north_german;grain;no;30;5;3;yes
245;Bonn;XNW;XNW;XNW;western;Bonn;3;3;3;catholic;culture_north_german;wine;no;30;5;3;yes
144;Braunschweig;XNI;XNI;XNI;western;Braunschweig;3;3;3;protestant;culture_north_german;grain;no;30;5;3;yes
194;BreisgauHochschwarzwald;XBW;XBW;XBW;western;Freiburg im Breisgau;3;3;3;catholic;culture_north_german;wine;no;30;5;3;yes
294;DarmstadtDieburg;XHE;XHE;XHE;western;Darmstadt;3;3;3;protestant;culture_north_german;grain;no;30;5;3;yes
255;Duren;XNW;XNW;XNW;western;Duren;3;3;3;catholic;culture_north_german;wine;no;30;5;3;yes
329;Emsland;XNI;XNI;XNI;western;Meppen;3;3;3;protestant;culture_north_german;grain;no;30;5;3;yes
467;EnnepeRuhrKreis;XNW;XNW;XNW;western;Schwelm;3;3;3;protestant;culture_north_german;iron;no;30;5;3;yes
240;Erzgebirgskreis;XSN;XSN;XSN;western;Annaberg-Buchholz;3;3;3;protestant;culture_north_german;gems;no;30;5;3;yes
345;Gelsenkirchen;XNW;XNW;XNW;western;Gelsenkirchen;3;3;3;protestant;culture_north_german;iron;no;30;5;3;yes
335;Giessen;XHE;XHE;XHE;western;Gieﬂen;3;3;3;protestant;culture_north_german;grain;no;30;5;3;yes
479;Goppingen;XBW;XBW;XBW;western;Goppingen;3;3;3;protestant;culture_north_german;wine;no;30;5;3;yes
192;Gottingen;XNI;XNI;XNI;western;Gottingen;3;3;3;protestant;culture_north_german;grain;no;30;5;3;yes
297;GrossGerau;XHE;XHE;XHE;western;Groﬂ-Gerau;3;3;3;protestant;culture_north_german;grain;no;30;5;3;yes
285;Harburg;XNI;XNI;XNI;western;Winsen (Luhe);3;3;3;protestant;culture_north_german;grain;no;30;5;3;yes
265;Heinsberg;XNW;XNW;XNW;western;Heinsberg;3;3;3;catholic;culture_north_german;wine;no;30;5;3;yes
388;Herford;XNW;XNW;XNW;western;Herford;3;3;3;protestant;culture_north_german;grain;no;30;5;3;yes
237;Hildesheim;XNI;XNI;XNI;western;Hildesheim;3;3;3;protestant;culture_north_german;grain;no;30;5;3;yes
468;Hochsauerlandkreis;XNW;XNW;XNW;western;Meschede;3;3;3;protestant;culture_north_german;grain;no;30;5;3;yes
139;StadtKarlsruhe;XBW;XBW;XBW;western;Karlsruhe;3;3;3;catholic;culture_north_german;wine;no;30;5;3;yes
155;Kleve;XNW;XNW;XNW;western;Kleve;3;3;3;catholic;culture_north_german;wine;no;30;5;3;yes
201;Konstanz;XBW;XBW;XBW;western;Konstanz;3;3;3;catholic;culture_north_german;wine;no;30;5;3;yes
337;LahnDillKreis;XHE;XHE;XHE;western;Wetzlar;3;3;3;protestant;culture_north_german;grain;no;30;5;3;yes
344;Leipzig;XSN;XSN;XSN;western;Borna;3;3;3;protestant;culture_north_german;gems;no;30;5;3;yes
390;Lippe;XNW;XNW;XNW;western;Detmold;3;3;3;protestant;culture_north_german;grain;no;30;5;3;yes
148;Mannheim;XBW;XBW;XBW;western;Mannheim;3;3;3;catholic;culture_north_german;wine;no;30;5;3;yes
341;MarburgBiedenkopf;XHE;XHE;XHE;western;Marburg;3;3;3;protestant;culture_north_german;grain;no;30;5;3;yes
432;MecklenburgischeSeenplatte;XMV;XMV;XMV;western;Neubrandenburg;3;3;3;protestant;culture_north_german;grain;no;30;5;3;yes
391;MindenLubbecke;XNW;XNW;XNW;western;Minden;3;3;3;protestant;culture_north_german;grain;no;30;5;3;yes
242;Mittelsachsen;XSN;XSN;XSN;western;Freiberg;3;3;3;protestant;culture_north_german;gems;no;30;5;3;yes
532;Monchengladbach;XNW;XNW;XNW;western;Monchengladbach;3;3;3;catholic;culture_north_german;wine;no;30;5;3;yes
347;Munster;XNW;XNW;XNW;western;Munster;3;3;3;catholic;culture_north_german;grain;no;30;5;3;yes
266;OberbergischerKreis;XNW;XNW;XNW;western;Gummersbach;3;3;3;catholic;culture_north_german;wine;no;30;5;3;yes
489;Ostalbkreis;XBW;XBW;XBW;western;Aalen;3;3;3;protestant;culture_north_german;wine;no;30;5;3;yes
392;Paderborn;XNW;XNW;XNW;western;Paderborn;3;3;3;catholic;culture_north_german;grain;no;30;5;3;yes
151;Pinneberg;XSL;XSL;XSL;western;Pinneberg;3;3;3;protestant;culture_north_german;fish;no;30;5;3;yes
258;Ravensburg;XBW;XBW;XBW;western;Ravensburg;3;3;3;catholic;culture_north_german;wine;no;30;5;3;yes
154;RendsburgEckernforde;XSL;XSL;XSL;western;Rendsburg;3;3;3;protestant;culture_north_german;fish;no;30;5;3;yes
249;Reutlingen;XBW;XBW;XBW;western;Reutlingen;3;3;3;protestant;culture_north_german;wine;no;30;5;3;yes
270;RheinischBergischerKreis;XNW;XNW;XNW;western;Bergisch Gladbach;3;3;3;catholic;culture_north_german;wine;no;30;5;3;yes
517;Rosenheim;XBY;XBY;XBY;western;Rosenheim;3;3;3;catholic;culture_north_german;grain;no;30;5;3;yes
461;SaarbruckenRegionalverband;XSL;XSL;XSL;western;Saarbrucken;3;3;3;catholic;culture_north_german;iron;no;30;5;3;yes
158;Segeberg;XSL;XSL;XSL;western;Bad Segeberg;3;3;3;protestant;culture_north_german;grain;no;30;5;3;yes
471;SiegenWittgenstein;XNW;XNW;XNW;western;Siegen;3;3;3;protestant;culture_north_german;grain;no;30;5;3;yes
472;Soest;XNW;XNW;XNW;western;Soest;3;3;3;protestant;culture_north_german;grain;no;30;5;3;yes
169;Viersen;XNW;XNW;XNW;western;Viersen;3;3;3;catholic;culture_north_german;wine;no;30;5;3;yes
355;Warendorf;XNW;XNW;XNW;western;Warendorf;3;3;3;protestant;culture_north_german;grain;no;30;5;3;yes
